"","X","CYCLE","STEP","VOLTAGE","CELL"
"8604",2886,2887,260,0.954337899543379,1
"8629",2911,2912,260,0.951293759512938,1
"8631",2913,2914,260,0.960426179604262,1
"8640",2922,2923,260,0.9558599695586,1
"8641",2923,2924,260,0.95738203957382,1
"8642",2924,2925,260,0.952815829528158,1
"8645",2927,2928,260,0.952815829528158,1
"8654",2936,2937,260,0.954337899543379,1
"8684",2966,2967,260,0.9558599695586,1
"8685",2967,2968,260,0.954337899543379,1
"8686",2968,2969,260,0.951293759512938,1
"8690",2972,2973,260,0.951293759512938,1
"8694",2976,2977,260,0.949771689497717,1
"8695",2977,2978,260,0.949771689497717,1
"8707",2989,2990,260,0.952815829528158,1
"8711",2993,2994,260,0.951293759512938,1
"8712",2994,2995,260,0.952815829528158,1
"8734",3016,3017,260,0.945205479452055,1
"8743",3025,3026,260,0.949771689497717,1
"8763",3045,3046,260,0.931506849315068,1
"8778",3060,3061,260,0.939117199391172,1
"8793",3075,3076,260,0.939117199391172,1
"8798",3080,3081,260,0.940639269406393,1
"8808",3090,3091,260,0.943683409436834,1
"8816",3098,3099,260,0.943683409436834,1
"8828",3110,3111,260,0.940639269406393,1
"8838",3120,3121,260,0.948249619482496,1
"8850",3132,3133,260,0.931506849315068,1
"8858",3140,3141,260,0.931506849315068,1
"8862",3144,3145,260,0.933028919330289,1
"8892",3174,3175,260,0.928462709284627,1
"8910",3192,3193,260,0.928462709284627,1
"8912",3194,3195,260,0.93455098934551,1
"8924",3206,3207,260,0.939117199391172,1
"8938",3220,3221,260,0.945205479452055,1
"8939",3221,3222,260,0.939117199391172,1
"8954",3236,3237,260,0.940639269406393,1
"8974",3256,3257,260,0.943683409436834,1
"8981",3263,3264,260,0.943683409436834,1
"8986",3268,3269,260,0.943683409436834,1
"9004",3286,3287,260,0.939117199391172,1
"9009",3291,3292,260,0.939117199391172,1
"9014",3296,3297,260,0.948249619482496,1
"9023",3305,3306,260,0.939117199391172,1
"9045",3327,3328,260,0.943683409436834,1
"9058",3340,3341,260,0.939117199391172,1
"9099",3381,3382,260,0.946727549467275,1
"9101",3383,3384,260,0.943683409436834,1
"9102",3384,3385,260,0.948249619482496,1
"9106",3388,3389,260,0.946727549467275,1
"9118",3400,3401,260,0.946727549467275,1
"9132",3414,3415,260,0.940639269406393,1
"9144",3426,3427,260,0.937595129375951,1
"9161",3443,3444,260,0.940639269406393,1
"9181",3463,3464,260,0.937595129375951,1
"9193",3475,3476,260,0.937595129375951,1
"9197",3479,3480,260,0.939117199391172,1
"9236",3518,3519,260,0.937595129375951,1
"9238",3520,3521,260,0.939117199391172,1
"9249",3531,3532,260,0.937595129375951,1
"9253",3535,3536,260,0.943683409436834,1
"9261",3543,3544,260,0.940639269406393,1
"9263",3545,3546,260,0.93607305936073,1
"9295",3577,3578,260,0.937595129375951,1
"9298",3580,3581,260,0.937595129375951,1
"9318",3600,3601,260,0.931506849315068,1
"9329",3611,3612,260,0.93455098934551,1
"9334",3616,3617,260,0.93607305936073,1
"9360",3642,3643,260,0.937595129375951,1
"9362",3644,3645,260,0.937595129375951,1
"9384",3666,3667,260,0.919330289193303,1
"9386",3668,3669,260,0.929984779299848,1
"9400",3682,3683,260,0.931506849315068,1
"9416",3698,3699,260,0.929984779299848,1
"9420",3702,3703,260,0.931506849315068,1
"9428",3710,3711,260,0.925418569254186,1
"9429",3711,3712,260,0.925418569254186,1
"9434",3716,3717,260,0.929984779299848,1
"9447",3729,3730,260,0.931506849315068,1
"9452",3734,3735,260,0.931506849315068,1
"9464",3746,3747,260,0.922374429223744,1
"9472",3754,3755,260,0.920852359208523,1
"9477",3759,3760,260,0.928462709284627,1
"9506",3788,3789,260,0.928462709284627,1
"9508",3790,3791,260,0.923896499238965,1
"9529",3811,3812,260,0.928462709284627,1
"9531",3813,3814,260,0.923896499238965,1
"9537",3819,3820,260,0.922374429223744,1
"9552",3834,3835,260,0.922374429223744,1
"9555",3837,3838,260,0.928462709284627,1
"9559",3841,3842,260,0.925418569254186,1
"9562",3844,3845,260,0.920852359208523,1
"9566",3848,3849,260,0.928462709284627,1
"9572",3854,3855,260,0.929984779299848,1
"9600",3882,3883,260,0.923896499238965,1
"9619",3901,3902,260,0.923896499238965,1
"9628",3910,3911,260,0.920852359208523,1
"9641",3923,3924,260,0.91324200913242,1
"9652",3934,3935,260,0.910197869101979,1
"9670",3952,3953,260,0.910197869101979,1
"9673",3955,3956,260,0.907153729071537,1
"9681",3963,3964,260,0.902587519025875,1
"9687",3969,3970,260,0.907153729071537,1
"9688",3970,3971,260,0.905631659056316,1
"9705",3987,3988,260,0.905631659056316,1
"9726",4008,4009,260,0.899543378995434,1
"9750",4032,4033,260,0.876712328767123,1
"9776",4058,4059,260,0.896499238964992,1
"9783",4065,4066,260,0.902587519025875,1
"9785",4067,4068,260,0.902587519025875,1
"9813",4095,4096,260,0.898021308980213,1
"9816",4098,4099,260,0.893455098934551,1
"9833",4115,4116,260,0.911719939117199,1
